time,Ft
0,0
0.002,-0.23561702666134
0.004,-0.47121951935462
0.006,-0.706792945008305
0.008,-0.942322772343849
0.01,-1.17779447277206
0.012,-1.41319352128928
0.014,-1.64850539737337
0.016,-1.8837155858794
0.018,-2.118809577935
0.02,-2.35377287183535
0.022,-2.5885909739377
0.024,-2.82324939955543
0.026,-3.0577336738515
0.028,-3.29202933273136
0.03,-3.52612192373513
0.032,-3.75999700692913
0.034,-3.99364015579657
0.036,-4.22703695812748
0.038,-4.46017301690769
0.04,-4.69303395120693
0.042,-4.92560539706589
0.044,-5.15787300838229
0.046,-5.38982245779578
0.048,-5.62143943757174
0.05,-5.85270966048385
0.052,-6.08361886069538
0.054,-6.31415279463917
0.056,-6.54429724189628
0.058,-6.77403800607312
0.06,-7.00336091567717
0.062,-7.23225182499116
0.064,-7.46069661494565
0.066,-7.6886811939899
0.068,-7.91619149896119
0.07,-8.14321349595223
0.0720000000000001,-8.36973318117688
0.0740000000000001,-8.59573658183395
0.0760000000000001,-8.82120975696912
0.0780000000000001,-9.04613879833488
0.0800000000000001,-9.27050983124843
0.0820000000000001,-9.49430901544759
0.0840000000000001,-9.71752254594449
0.0860000000000001,-9.94013665387714
0.0880000000000001,-10.1621376073587
0.0900000000000001,-10.3835117123248
0.0920000000000001,-10.6042453133777
0.0940000000000001,-10.8243247946293
0.0960000000000001,-11.0437365805403
0.0980000000000001,-11.2624671367585
0.1,-11.4805029709527
0.102,-11.6978306336457
0.104,-11.9144367190434
0.106,-12.1303078658624
0.108,-12.3454307581533
0.11,-12.5597921261229
0.112,-12.7733787469522
0.114,-12.9861774456124
0.116,-13.1981750956775
0.118,-13.4093586201336
0.12,-13.6197149921864
0.122,-13.8292312360639
0.124,-14.0378944278172
0.126,-14.2456916961178
0.128,-14.4526102230515
0.13,-14.6586372449087
0.132,-14.8637600529722
0.134,-15.0679659943012
0.136,-15.2712424725111
0.138,-15.4735769485514
0.14,-15.6749569414785
0.142,-15.8753700292257
0.144,-16.0748038493699
0.146,-16.2732460998936
0.148,-16.470684539944
0.15,-16.6671069905881
0.152,-16.8625013355639
0.154,-17.0568555220279
0.156,-17.2501575612984
0.158,-17.4423955295949
0.16,-17.6335575687742
0.162,-17.8236318870612
0.164,-18.0126067597765
0.166,-18.20047053006
0.168,-18.3872116095893
0.17,-18.572818479295
0.172,-18.7572796900712
0.174,-18.9405838634813
0.176,-19.1227196924607
0.178,-19.3036759420134
0.18,-19.4834414499055
0.182,-19.6620051273538
0.184,-19.8393559597096
0.186,-20.015483007138
0.188,-20.1903754052932
0.19,-20.3640223659883
0.192,-20.5364131778607
0.194,-20.7075372070331
0.196,-20.8773838977694
0.198,-21.0459427731257
0.2,-21.2132034355964
0.202,-21.3791555677562
0.204,-21.5437889328957
0.206,-21.7070933756535
0.208,-21.8690588226424
0.21,-22.0296752830706
0.212,-22.1889328493583
0.214,-22.3468216977487
0.216,-22.5033320889138
0.218,-22.6584543685555
0.22,-22.8121789680009
0.222,-22.9644964047927
0.224,-23.1153972832737
0.226,-23.264872295167
0.228,-23.4129122201499
0.23,-23.5595079264224
0.232,-23.7046503712707
0.234,-23.8483306016253
0.236,-23.9905397546127
0.238,-24.1312690581025
0.24,-24.2705098312484
0.242,-24.4082534850236
0.244,-24.5444915227507
0.246,-24.6792155406258
0.248,-24.8124172282369
0.25,-24.9440883690764
0.252,-25.0742208410481
0.254,-25.2028066169683
0.256,-25.3298377650605
0.258,-25.4553064494451
0.26,-25.5792049306228
0.262,-25.7015255659515
0.264,-25.8222608101183
0.266,-25.9414032156047
0.268,-26.0589454331457
0.27,-26.1748802121839
0.272,-26.2892004013159
0.274,-26.401898948734
0.276,-26.5129689026608
0.278,-26.6224034117785
0.28,-26.730195725651
0.282,-26.8363391951408
0.284,-26.9408272728185
0.286,-27.0436535133674
0.288,-27.1448115739806
0.29,-27.2442952147525
0.292,-27.3420982990634
0.294,-27.4382147939584
0.296,-27.5326387705194
0.298,-27.6253644042308
0.3,-27.7163859753386
0.302,-27.8056978692036
0.304,-27.8932945766476
0.306,-27.9791706942928
0.308,-28.063320924896
0.31,-28.1457400776745
0.312,-28.2264230686268
0.314,-28.3053649208458
0.316,-28.3825607648264
