time,Ft
0,0
0.002,-0.376981196500578
0.004,-0.753902863300124
0.006,-1.13070548009804
0.008,-1.50732954539309
0.01,-1.8837155858794
0.012,-2.25980416583798
0.014,-2.6355358965223
0.016,-3.01085144553645
0.018,-3.38569154620445
0.02,-3.75999700692913
0.022,-4.13370872053914
0.024,-4.50676767362271
0.026,-4.87911495584651
0.028,-5.25069176925828
0.03,-5.62143943757174
0.032,-5.99129941543221
0.034,-6.36021329766164
0.036,-6.72812282848144
0.038,-7.09496991071174
0.04,-7.46069661494565
0.042,-7.82524518869691
0.044,-8.18855806551976
0.046,-8.55057787409929
0.048,-8.91124744731105
0.05,-9.27050983124843
0.052,-9.62830829421629
0.054,-9.98458633568961
0.056,-10.3392876952355
0.058,-10.6923563613975
0.06,-11.0437365805403
0.062,-11.393372865654
0.064,-11.7412100051161
0.066,-12.0871930714099
0.068,-12.4312674297985
0.07,-12.7733787469522
0.0720000000000001,-13.113472999528
0.0740000000000001,-13.451496482701
0.0760000000000001,-13.7873958186446
0.0780000000000001,-14.12111796496
0.0800000000000001,-14.4526102230515
0.0820000000000001,-14.7818202464488
0.0840000000000001,-15.1086960490728
0.0860000000000001,-15.4331860134452
0.0880000000000001,-15.7552388988389
0.0900000000000001,-16.0748038493699
0.0920000000000001,-16.3918304020281
0.0940000000000001,-16.7062684946457
0.0960000000000001,-17.0180684738027
0.0980000000000001,-17.327181102668
0.1,-17.6335575687742
0.102,-17.9371494917256
0.104,-18.2379089308382
0.106,-18.53578839271
0.108,-18.830740838721
0.11,-19.1227196924607
0.112,-19.4116788470833
0.114,-19.6975726725887
0.116,-19.9803560230276
0.118,-20.2599842436307
0.12,-20.5364131778607
0.122,-20.8095991743842
0.124,-21.0794990939655
0.126,-21.3460703162786
0.128,-21.6092707466372
0.13,-21.8690588226424
0.132,-22.1253935207452
0.134,-22.3782343627255
0.136,-22.6275414220831
0.138,-22.8732753303434
0.14,-23.1153972832737
0.142,-23.3538690470107
0.144,-23.5886529640986
0.146,-23.8197119594351
0.148,-24.0470095461263
0.15,-24.2705098312484
0.152,-24.4901775215155
0.154,-24.7059779288528
0.156,-24.9178769758744
0.158,-25.1258412012643
0.16,-25.3298377650605
0.162,-25.5298344538408
0.164,-25.7257996858096
0.166,-25.9177025157851
0.168,-26.1055126400858
0.17,-26.2892004013159
0.172,-26.4687367930486
0.174,-26.6440934644063
0.176,-26.8152427245379
0.178,-26.9821575469911
0.18,-27.1448115739806
0.182,-27.3031791205499
0.184,-27.4572351786275
0.186,-27.6069554209761
0.188,-27.7523162050338
0.19,-27.8932945766476
0.192,-28.0298682736984
0.194,-28.1620157296162
0.196,-28.2897160767859
0.198,-28.4129491498423
0.2,-28.5316954888546
0.202,-28.6459363423993
0.204,-28.7556536705213
0.206,-28.8608301475826
0.208,-28.9614491649982
0.21,-29.0574948338589
0.212,-29.1489519874402
0.214,-29.2358061835973
0.216,-29.3180437070458
0.218,-29.3956515715274
0.22,-29.4686175218607
0.222,-29.5369300358762
0.224,-29.600578326236
0.226,-29.6595523421374
0.228,-29.7138427708995
0.23,-29.7634410394343
0.232,-29.8083393156003
0.234,-29.848530509439
0.236,-29.8840082742952
0.238,-29.9147670078184
0.24,-29.9408018528481
0.242,-29.9621086981805
0.244,-29.9786841792177
0.246,-29.990525678499
0.248,-29.9976313261145
0.25,-30
0.252,-29.9976313261145
0.254,-29.990525678499
0.256,-29.9786841792177
0.258,-29.9621086981805
0.26,-29.9408018528481
0.262,-29.9147670078184
0.264,-29.8840082742952
0.266,-29.848530509439
0.268,-29.8083393156003
0.27,-29.7634410394343
0.272,-29.7138427708995
0.274,-29.6595523421374
0.276,-29.600578326236
0.278,-29.5369300358762
0.28,-29.4686175218607
0.282,-29.3956515715274
0.284,-29.3180437070458
0.286,-29.2358061835973
0.288,-29.1489519874402
0.29,-29.0574948338589
0.292,-28.9614491649982
0.294,-28.8608301475826
0.296,-28.7556536705213
0.298,-28.6459363423993
0.3,-28.5316954888546
0.302,-28.4129491498423
0.304,-28.2897160767859
0.306,-28.1620157296162
0.308,-28.0298682736983
0.31,-27.8932945766475
0.312,-27.7523162050337
0.314,-27.6069554209761
0.316,-27.4572351786275
0.318,-27.3031791205499
0.32,-27.1448115739806
0.322,-26.9821575469911
0.324,-26.8152427245379
0.326,-26.6440934644063
0.328,-26.4687367930486
0.33,-26.2892004013159
0.332,-26.1055126400857
0.334,-25.917702515785
0.336,-25.7257996858095
0.338,-25.5298344538407
0.34,-25.3298377650604
0.342,-25.1258412012642
0.344,-24.9178769758744
0.346,-24.7059779288528
0.348,-24.4901775215155
0.35,-24.2705098312484
0.352,-24.0470095461263
0.354,-23.819711959435
0.356,-23.5886529640985
0.358,-23.3538690470107
0.36,-23.1153972832736
0.362,-22.8732753303434
0.364,-22.6275414220831
0.366,-22.3782343627254
0.368,-22.1253935207452
0.37,-21.8690588226423
0.372,-21.6092707466372
0.374,-21.3460703162785
0.376,-21.0794990939654
0.378,-20.8095991743841
0.38,-20.5364131778606
0.382,-20.2599842436307
0.384,-19.9803560230275
0.386,-19.6975726725887
0.388,-19.4116788470833
0.39,-19.1227196924607
0.392,-18.830740838721
0.394,-18.53578839271
0.396,-18.2379089308381
0.398,-17.9371494917255
0.4,-17.6335575687742
0.402,-17.327181102668
0.404,-17.0180684738026
0.406,-16.7062684946456
0.408,-16.391830402028
0.41,-16.0748038493699
0.412,-15.7552388988388
0.414,-15.4331860134451
0.416,-15.1086960490728
0.418,-14.7818202464487
0.42,-14.4526102230514
0.422,-14.1211179649599
0.424,-13.7873958186446
0.426,-13.4514964827009
0.428,-13.1134729995279
0.43,-12.7733787469521
0.432,-12.4312674297985
0.434,-12.0871930714098
0.436,-11.741210005116
0.438,-11.393372865654
0.44,-11.0437365805403
0.442,-10.6923563613975
0.444,-10.3392876952354
0.446,-9.98458633568955
0.448,-9.62830829421623
0.45,-9.27050983124836
0.452,-8.91124744731098
0.454,-8.55057787409923
0.456,-8.1885580655197
0.458,-7.82524518869685
0.46,-7.46069661494558
0.462,-7.09496991071167
0.464,-6.72812282848138
0.466,-6.36021329766158
0.468,-5.99129941543215
0.47,-5.62143943757167
0.472,-5.25069176925821
0.474,-4.87911495584645
0.476,-4.50676767362265
0.478,-4.13370872053908
0.48,-3.75999700692906
0.482,-3.38569154620439
0.484,-3.01085144553638
0.486,-2.63553589652223
0.488,-2.25980416583791
0.49,-1.88371558587933
0.492,-1.50732954539302
0.494,-1.13070548009797
0.496,-0.753902863300054
0.498,-0.376981196500505
0.5,6.29394410800673e-14
0.502,0.376981196500631
0.504,0.75390286330018
0.506,1.1307054800981
0.508,1.50732954539315
0.51,1.88371558587947
0.512,2.25980416583804
0.514,2.63553589652235
0.516,3.01085144553651
0.518,3.38569154620452
0.52,3.7599970069292
0.522,4.1337087205392
0.524,4.50676767362277
0.526,4.87911495584657
0.528,5.25069176925835
0.53,5.6214394375718
0.532,5.99129941543227
0.534,6.3602132976617
0.536,6.7281228284815
0.538,7.09496991071181
0.54,7.4606966149457
0.542,7.82524518869697
0.544,8.18855806551982
0.546,8.55057787409935
0.548,8.91124744731112
0.55,9.27050983124848
0.552,9.62830829421635
0.554,9.98458633568966
0.556,10.3392876952356
0.558,10.6923563613976
0.56,11.0437365805404
0.562,11.3933728656541
0.564,11.7412100051161
0.566,12.0871930714099
0.568,12.4312674297986
0.57,12.7733787469522
0.572,13.1134729995281
0.574,13.451496482701
0.576,13.7873958186447
0.578,14.12111796496
0.58,14.4526102230515
0.582,14.7818202464488
0.584,15.1086960490729
0.586,15.4331860134452
0.588,15.7552388988389
0.59,16.07480384937
0.592,16.3918304020281
0.594,16.7062684946457
0.596,17.0180684738028
0.598,17.3271811026681
0.6,17.6335575687743
0.602,17.9371494917256
0.604,18.2379089308382
0.606,18.5357883927101
0.608,18.8307408387211
0.61,19.1227196924608
0.612,19.4116788470834
0.614,19.6975726725887
0.616,19.9803560230276
0.618,20.2599842436308
0.62,20.5364131778607
0.622,20.8095991743842
0.624,21.0794990939655
0.626,21.3460703162786
0.628,21.6092707466373
0.63,21.8690588226424
0.632,22.1253935207453
0.634,22.3782343627255
0.636,22.6275414220832
0.638,22.8732753303435
0.64,23.1153972832737
0.642,23.3538690470108
0.644,23.5886529640986
0.646,23.8197119594351
0.648,24.0470095461263
0.65,24.2705098312485
0.652,24.4901775215156
0.654,24.7059779288529
0.656,24.9178769758744
0.658,25.1258412012643
0.66,25.3298377650605
0.662,25.5298344538408
0.664,25.7257996858096
0.666,25.9177025157851
0.668,26.1055126400858
0.67,26.2892004013159
0.672,26.4687367930486
0.674,26.6440934644064
0.676,26.815242724538
0.678,26.9821575469912
0.68,27.1448115739806
0.682,27.3031791205499
0.684,27.4572351786276
0.686,27.6069554209761
0.688000000000001,27.7523162050338
0.690000000000001,27.8932945766476
0.692000000000001,28.0298682736984
0.694000000000001,28.1620157296163
0.696000000000001,28.289716076786
0.698000000000001,28.4129491498424
0.700000000000001,28.5316954888546
0.702000000000001,28.6459363423993
0.704000000000001,28.7556536705213
0.706000000000001,28.8608301475826
0.708000000000001,28.9614491649982
0.710000000000001,29.057494833859
0.712000000000001,29.1489519874402
0.714000000000001,29.2358061835973
0.716000000000001,29.3180437070458
0.718000000000001,29.3956515715274
0.720000000000001,29.4686175218607
0.722000000000001,29.5369300358762
0.724000000000001,29.6005783262361
0.726000000000001,29.6595523421374
0.728000000000001,29.7138427708996
0.730000000000001,29.7634410394343
0.732000000000001,29.8083393156003
0.734000000000001,29.848530509439
0.736000000000001,29.8840082742952
0.738000000000001,29.9147670078184
0.740000000000001,29.9408018528482
0.742000000000001,29.9621086981805
0.744000000000001,29.9786841792177
0.746000000000001,29.990525678499
0.748000000000001,29.9976313261145
0.750000000000001,30
0.752000000000001,29.9976313261145
0.754000000000001,29.990525678499
0.756000000000001,29.9786841792177
0.758000000000001,29.9621086981805
0.760000000000001,29.9408018528481
0.762000000000001,29.9147670078184
0.764000000000001,29.8840082742952
0.766000000000001,29.848530509439
0.768000000000001,29.8083393156002
0.770000000000001,29.7634410394343
0.772000000000001,29.7138427708995
0.774000000000001,29.6595523421374
0.776000000000001,29.600578326236
0.778000000000001,29.5369300358761
0.780000000000001,29.4686175218606
0.782000000000001,29.3956515715274
0.784000000000001,29.3180437070458
0.786000000000001,29.2358061835973
0.788000000000001,29.1489519874402
0.790000000000001,29.0574948338589
0.792000000000001,28.9614491649982
0.794000000000001,28.8608301475825
0.796000000000001,28.7556536705212
0.798000000000001,28.6459363423993
0.800000000000001,28.5316954888546
0.802000000000001,28.4129491498423
0.804000000000001,28.2897160767859
0.806000000000001,28.1620157296162
0.808000000000001,28.0298682736983
0.810000000000001,27.8932945766475
0.812000000000001,27.7523162050337
0.814000000000001,27.6069554209761
0.816000000000001,27.4572351786275
0.818000000000001,27.3031791205498
0.820000000000001,27.1448115739805
0.822000000000001,26.9821575469911
0.824000000000001,26.8152427245379
0.826000000000001,26.6440934644063
0.828000000000001,26.4687367930485
0.830000000000001,26.2892004013158
0.832000000000001,26.1055126400857
0.834000000000001,25.917702515785
0.836000000000001,25.7257996858095
0.838000000000001,25.5298344538407
0.840000000000001,25.3298377650604
0.842000000000001,25.1258412012642
0.844000000000001,24.9178769758743
0.846000000000001,24.7059779288528
0.848000000000001,24.4901775215154
0.850000000000001,24.2705098312483
0.852000000000001,24.0470095461262
0.854000000000001,23.819711959435
0.856000000000001,23.5886529640985
0.858000000000001,23.3538690470106
0.860000000000001,23.1153972832736
0.862000000000001,22.8732753303434
0.864000000000001,22.627541422083
0.866000000000001,22.3782343627254
0.868000000000001,22.1253935207451
0.870000000000001,21.8690588226423
0.872000000000001,21.6092707466371
0.874000000000001,21.3460703162785
0.876000000000001,21.0794990939654
0.878000000000001,20.8095991743841
0.880000000000001,20.5364131778606
0.882000000000001,20.2599842436306
0.884000000000001,19.9803560230275
0.886000000000001,19.6975726725886
0.888000000000001,19.4116788470832
0.890000000000001,19.1227196924606
0.892000000000001,18.8307408387209
0.894000000000001,18.5357883927099
0.896000000000001,18.2379089308381
0.898000000000001,17.9371494917255
0.900000000000001,17.6335575687741
0.902000000000001,17.3271811026679
0.904000000000001,17.0180684738026
0.906000000000001,16.7062684946455
0.908000000000001,16.391830402028
0.910000000000001,16.0748038493698
0.912000000000001,15.7552388988388
0.914000000000001,15.4331860134451
0.916000000000001,15.1086960490727
0.918000000000001,14.7818202464486
0.920000000000001,14.4526102230513
0.922000000000001,14.1211179649599
0.924000000000001,13.7873958186445
0.926000000000001,13.4514964827009
0.928000000000001,13.1134729995279
0.930000000000001,12.7733787469521
0.932000000000001,12.4312674297984
0.934000000000001,12.0871930714098
0.936000000000001,11.741210005116
0.938000000000001,11.3933728656539
0.940000000000001,11.0437365805402
0.942000000000001,10.6923563613974
0.944000000000001,10.3392876952354
0.946000000000001,9.98458633568949
0.948000000000001,9.62830829421617
0.950000000000001,9.2705098312483
0.952000000000001,8.91124744731092
0.954000000000001,8.55057787409916
0.956000000000001,8.18855806551963
0.958000000000001,7.82524518869677
0.960000000000001,7.46069661494551
0.962000000000001,7.0949699107116
0.964000000000001,6.72812282848132
0.966000000000001,6.36021329766152
0.968000000000001,5.99129941543208
0.970000000000001,5.62143943757161
0.972000000000001,5.25069176925815
0.974000000000001,4.87911495584637
0.976000000000001,4.50676767362257
0.978000000000001,4.133708720539
0.980000000000001,3.75999700692898
0.982000000000001,3.38569154620433
0.984000000000001,3.01085144553632
