time,Ft
0,0
0.002,-0.448792924049898
0.004,-0.897549689904862
0.006,-1.34623414228314
0.008,-1.79481013172911
0.01,-2.24324151752575
0.012,-2.69149217060641
0.014,-3.13952597646567
0.016,-3.58730683806896
0.018,-4.03479867876086
0.02,-4.48196544517168
0.022,-4.92877111012218
0.024,-5.37517967552625
0.026,-5.82115517529115
0.028,-6.26666167821521
0.03,-6.71166329088278
0.032,-7.15612416055598
0.034,-7.60000847806336
0.036,-8.04328048068493
0.038,-8.48590445503345
0.04,-8.92784473993184
0.042,-9.36906572928624
0.044,-9.80953187495476
0.046,-10.2492076896115
0.048,-10.6880577496057
0.05,-11.1260466978157
0.052,-11.5631392464976
0.054,-11.9993001801283
0.056,-12.4344943582427
0.058,-12.8686867182651
0.06,-13.3018422783338
0.062,-13.7339261401195
0.064,-14.1649034916375
0.066,-14.5947396100517
0.068,-15.0233998644726
0.07,-15.4508497187474
0.0720000000000001,-15.8770547342422
0.0740000000000001,-16.3019805726171
0.0760000000000001,-16.7255929985923
0.0780000000000001,-17.1478578827066
0.0800000000000001,-17.5687412040671
0.0820000000000001,-17.9882090530904
0.0840000000000001,-18.4062276342339
0.0860000000000001,-18.8227632687196
0.0880000000000001,-19.2377823972468
0.0900000000000001,-19.6512515826962
0.0920000000000001,-20.0631375128237
0.0940000000000001,-20.4734070029445
0.0960000000000001,-20.8820269986066
0.0980000000000001,-21.2889645782536
0.1,-21.6941869558779
0.102,-22.0976614836614
0.104,-22.4993556546061
0.106,-22.8992371051534
0.108,-23.2972736177913
0.11,-23.6934331236499
0.112,-24.0876837050858
0.114,-24.4799935982526
0.116,-24.8703311956611
0.118,-25.2586650487251
0.12,-25.6449638702953
0.122,-26.0291965371804
0.124,-26.4113320926542
0.126,-26.7913397489498
0.128,-27.1691888897403
0.13,-27.5448490726051
0.132,-27.9182900314831
0.134,-28.2894816791107
0.136,-28.6583941094461
0.138,-29.0249976000787
0.14,-29.3892626146237
0.142,-29.7511598051019
0.144,-30.1106600143041
0.146,-30.4677342781404
0.148,-30.8223538279735
0.15,-31.1744900929367
0.152,-31.5241147022357
0.154,-31.8711994874345
0.156,-32.2157164847247
0.158,-32.5576379371787
0.16,-32.8969362969857
0.162,-33.2335842276713
0.164,-33.5675546063002
0.166,-33.8988205256611
0.168,-34.2273552964345
0.17,-34.5531324493433
0.172,-34.8761257372851
0.174,-35.1963091374473
0.176,-35.5136568534029
0.178,-35.8281433171896
0.18,-36.1397431913696
0.182,-36.4484313710706
0.184,-36.7541829860089
0.186,-37.0569734024928
0.188,-37.3567782254075
0.19,-37.6535733001806
0.192,-37.9473347147278
0.194,-38.2380388013799
0.196,-38.5256621387895
0.198,-38.8101815538177
0.2,-39.0915741234015
0.202,-39.3698171764006
0.204,-39.6448882954238
0.206,-39.9167653186351
0.208,-40.1854263415395
0.21,-40.4508497187474
0.212,-40.713014065719
0.214,-40.9718982604866
0.216,-41.2274814453571
0.218,-41.4797430285916
0.22,-41.7286626860652
0.222,-41.9742203629039
0.224,-42.2163962751008
0.226,-42.4551709111097
0.228,-42.6905250334174
0.23,-42.9224396800933
0.232,-43.1508961663175
0.234,-43.3758760858859
0.236,-43.5973613126931
0.238,-43.8153340021932
0.24,-44.0297765928369
0.242,-44.2406718074869
0.244,-44.4480026548097
0.246,-44.6517524306443
0.248,-44.8519047193485
0.25,-45.048443395121
0.252,-45.241352623301
0.254,-45.4306168616437
0.256,-45.6162208615727
0.258,-45.7981496694083
0.26,-45.9763886275726
0.262,-46.1509233757699
0.264,-46.3217398521444
0.266,-46.4888242944126
0.268,-46.6521632409722
0.27,-46.8117435319869
0.272,-46.9675523104462
0.274,-47.1195770232018
0.276,-47.2678054219785
0.278,-47.4122255643613
0.28,-47.5528258147577
0.282,-47.6895948453346
0.284,-47.8225216369316
0.286,-47.9515954799483
0.288,-48.0768059752075
0.29,-48.1981430347927
0.292,-48.3155968828612
0.294,-48.4291580564316
0.296,-48.5388174061459
0.298,-48.6445660970072
0.3,-48.7463956090912
0.302,-48.8442977382324
0.304,-48.9382645966856
0.306,-49.028288613761
0.308,-49.1143625364344
0.31,-49.1964794299315
0.312,-49.2746326782863
0.314,-49.3488159848748
0.316,-49.4190233729215
0.318,-49.4852491859818
0.32,-49.5474880883967
0.322,-49.6057350657239
0.324,-49.6599854251407
0.326,-49.7102347958226
0.328,-49.7564791292956
0.33,-49.798714699762
0.332,-49.8369381044007
0.334,-49.8711462636417
0.336,-49.9013364214136
0.338,-49.9275061453661
0.34,-49.9496533270657
0.342,-49.9677761821661
0.344,-49.9818732505511
0.346,-49.9919433964529
0.348,-49.9979858085436
0.35,-50
0.352,-49.9979858085436
