time,Ft
0,0
0.002,-0.251320797667052
0.004,-0.50260190886675
0.006,-0.753803653398691
0.008,-1.00488636359539
0.01,-1.25581039058627
0.012,-1.50653611055865
0.014,-1.75702393101486
0.016,-2.0072342970243
0.018,-2.25712769746963
0.02,-2.50666467128609
0.022,-2.75580581369276
0.024,-3.00451178241514
0.026,-3.25274330389767
0.028,-3.50046117950552
0.03,-3.74762629171449
0.032,-3.99419961028814
0.034,-4.24014219844109
0.036,-4.48541521898763
0.038,-4.7299799404745
0.04,-4.9737977432971
0.042,-5.21683012579794
0.044,-5.45903871034651
0.046,-5.70038524939953
0.048,-5.9408316315407
0.05,-6.18033988749895
0.052,-6.41887219614419
0.054,-6.65639089045974
0.056,-6.89285846349034
0.058,-7.12823757426502
0.06,-7.36249105369356
0.062,-7.59558191043603
0.064,-7.82747333674405
0.066,-8.05812871427326
0.068,-8.28751161986569
0.07,-8.51558583130146
0.0720000000000001,-8.74231533301866
0.0740000000000001,-8.96766432180065
0.0760000000000001,-9.19159721242976
0.0780000000000001,-9.41407864330666
0.0800000000000001,-9.63507348203431
0.0820000000000001,-9.85454683096584
0.0840000000000001,-10.0724640327152
0.0860000000000001,-10.2887906756301
0.0880000000000001,-10.5034925992259
0.0900000000000001,-10.7165358995799
0.0920000000000001,-10.9278869346854
0.0940000000000001,-11.1375123297638
0.0960000000000001,-11.3453789825351
0.0980000000000001,-11.5514540684454
0.1,-11.7557050458495
0.102,-11.9580996611504
0.104,-12.1586059538921
0.106,-12.3571922618067
0.108,-12.553827225814
0.11,-12.7484797949738
0.112,-12.9411192313889
0.114,-13.1317151150591
0.116,-13.320237348685
0.118,-13.5066561624205
0.12,-13.6909421185738
0.122,-13.8730661162561
0.124,-14.052999395977
0.126,-14.2307135441857
0.128,-14.4061804977581
0.13,-14.5793725484282
0.132,-14.7502623471635
0.134,-14.9188229084837
0.136,-15.0850276147221
0.138,-15.248850220229
0.14,-15.4102648555158
0.142,-15.5692460313405
0.144,-15.7257686427324
0.146,-15.8798079729567
0.148,-16.0313396974175
0.15,-16.180339887499
0.152,-16.3267850143437
0.154,-16.4706519525686
0.156,-16.6119179839163
0.158,-16.7505608008428
0.16,-16.8865585100403
0.162,-17.0198896358938
0.164,-17.1505331238731
0.166,-17.2784683438567
0.168,-17.4036750933905
0.17,-17.5261336008773
0.172,-17.6458245286991
0.174,-17.7627289762709
0.176,-17.8768284830253
0.178,-17.9881050313274
0.18,-18.0965410493204
0.182,-18.2021194136999
0.184,-18.3048234524184
0.186,-18.4046369473174
0.188,-18.5015441366892
0.19,-18.595529717765
0.192,-18.6865788491322
0.194,-18.7746771530775
0.196,-18.8598107178573
0.198,-18.9419660998949
0.2,-19.0211303259031
0.202,-19.0972908949329
0.204,-19.1704357803475
0.206,-19.2405534317217
0.208,-19.3076327766655
0.21,-19.3716632225726
0.212,-19.4326346582935
0.214,-19.4905374557315
0.216,-19.5453624713639
0.218,-19.5971010476849
0.22,-19.6457450145738
0.222,-19.6912866905841
0.224,-19.7337188841574
0.226,-19.7730348947583
0.228,-19.809228513933
0.23,-19.8422940262896
0.232,-19.8722262104002
0.234,-19.899020339626
0.236,-19.9226721828635
0.238,-19.9431780052123
0.24,-19.9605345685654
0.242,-19.9747391321204
0.244,-19.9857894528118
0.246,-19.993683785666
0.248,-19.9984208840763
0.25,-20
0.252,-19.9984208840763
0.254,-19.993683785666
0.256,-19.9857894528118
0.258,-19.9747391321203
0.26,-19.9605345685654
0.262,-19.9431780052123
0.264,-19.9226721828634
0.266,-19.899020339626
0.268,-19.8722262104002
0.27,-19.8422940262896
0.272,-19.809228513933
0.274,-19.7730348947583
0.276,-19.7337188841574
0.278,-19.6912866905841
0.28,-19.6457450145738
0.282,-19.5971010476849
0.284,-19.5453624713639
0.286,-19.4905374557315
0.288,-19.4326346582935
0.29,-19.3716632225726
0.292,-19.3076327766655
0.294,-19.2405534317217
0.296,-19.1704357803475
0.298,-19.0972908949329
0.3,-19.0211303259031
0.302,-18.9419660998949
0.304,-18.8598107178573
0.306,-18.7746771530775
0.308,-18.6865788491322
0.31,-18.595529717765
0.312,-18.5015441366892
0.314,-18.4046369473174
0.316,-18.3048234524183
0.318,-18.2021194136999
0.32,-18.0965410493204
0.322,-17.9881050313274
0.324,-17.8768284830253
0.326,-17.7627289762709
0.328,-17.6458245286991
0.33,-17.5261336008773
0.332,-17.4036750933905
0.334,-17.2784683438567
0.336,-17.150533123873
0.338,-17.0198896358938
0.34,-16.8865585100403
0.342,-16.7505608008428
0.344,-16.6119179839162
0.346,-16.4706519525685
0.348,-16.3267850143437
0.35,-16.1803398874989
0.352,-16.0313396974175
0.354,-15.8798079729567
0.356,-15.7257686427324
0.358,-15.5692460313404
0.36,-15.4102648555158
0.362,-15.2488502202289
0.364,-15.0850276147221
0.366,-14.9188229084836
0.368,-14.7502623471635
0.37,-14.5793725484282
0.372,-14.4061804977581
0.374,-14.2307135441857
0.376,-14.052999395977
0.378,-13.8730661162561
0.38,-13.6909421185738
0.382,-13.5066561624205
0.384,-13.320237348685
0.386,-13.1317151150591
0.388,-12.9411192313889
0.39,-12.7484797949738
0.392,-12.553827225814
0.394,-12.3571922618067
0.396,-12.1586059538921
0.398,-11.9580996611504
0.4,-11.7557050458494
0.402,-11.5514540684453
0.404,-11.3453789825351
0.406,-11.1375123297637
0.408,-10.9278869346854
0.41,-10.7165358995799
0.412,-10.5034925992259
0.414,-10.2887906756301
0.416,-10.0724640327152
0.418,-9.8545468309658
0.42,-9.63507348203427
0.422,-9.41407864330662
0.424,-9.19159721242972
0.426,-8.96766432180062
0.428,-8.74231533301863
0.43,-8.51558583130142
0.432,-8.28751161986565
0.434,-8.05812871427321
0.436,-7.82747333674402
0.438,-7.59558191043599
0.44,-7.36249105369352
0.442,-7.12823757426497
0.444,-6.8928584634903
0.446,-6.6563908904597
0.448,-6.41887219614415
0.45,-6.18033988749891
0.452,-5.94083163154066
0.454,-5.70038524939949
0.456,-5.45903871034647
0.458,-5.2168301257979
0.46,-4.97379774329705
0.462,-4.72997994047445
0.464,-4.48541521898759
0.466,-4.24014219844105
0.468,-3.9941996102881
0.47,-3.74762629171445
0.472,-3.50046117950547
0.474,-3.25274330389763
0.476,-3.0045117824151
0.478,-2.75580581369272
0.48,-2.50666467128604
0.482,-2.25712769746959
0.484,-2.00723429702426
0.486,-1.75702393101482
0.488,-1.50653611055861
0.49,-1.25581039058622
0.492,-1.00488636359535
0.494,-0.753803653398646
0.496,-0.502601908866703
0.498,-0.251320797667003
0.5,4.19596273867116e-14
0.502,0.251320797667087
0.504,0.502601908866787
0.506,0.75380365339873
0.508,1.00488636359543
0.51,1.25581039058631
0.512,1.50653611055869
0.514,1.7570239310149
0.516,2.00723429702434
0.518,2.25712769746968
0.52,2.50666467128613
0.522,2.7558058136928
0.524,3.00451178241518
0.526,3.25274330389771
0.528,3.50046117950557
0.53,3.74762629171453
0.532,3.99419961028818
0.534,4.24014219844113
0.536,4.48541521898767
0.538,4.72997994047454
0.54,4.97379774329714
0.542,5.21683012579798
0.544,5.45903871034655
0.546,5.70038524939957
