time,Ft
0,0
0.002,-0.314157198277948
0.004,-0.62830199416763
0.006,-0.942421985770409
0.008,-1.25650477216687
0.01,-1.57053795390641
0.012,-1.88450913349673
0.014,-2.19840591589324
0.016,-2.51221590898848
0.018,-2.82592672410123
0.02,-3.13952597646567
0.022,-3.45300128572029
0.024,-3.76634027639664
0.026,-4.07953057840788
0.028,-4.39255982753716
0.03,-4.70541566592572
0.032,-5.01808574256075
0.034,-5.330557713763
0.036,-5.64281924367409
0.038,-5.95485800474349
0.04,-6.26666167821522
0.042,-6.57821795461413
0.044,-6.88951453423191
0.046,-7.20053912761261
0.048,-7.51127945603786
0.05,-7.82172325201155
0.052,-8.13185825974418
0.054,-8.4416722356367
0.056,-8.75115294876381
0.058,-9.06028818135687
0.06,-9.36906572928624
0.062,-9.67747340254302
0.064,-9.98549902572036
0.066,-10.2931304384941
0.068,-10.6003554961027
0.07,-10.9071620698271
0.0720000000000001,-11.2135380474691
0.0740000000000001,-11.5194713338295
0.0760000000000001,-11.8249498511862
0.0780000000000001,-12.1299615397704
0.0800000000000001,-12.4344943582427
0.0820000000000001,-12.7385362841691
0.0840000000000001,-13.0420753144949
0.0860000000000001,-13.3450994660188
0.0880000000000001,-13.6475967758663
0.0900000000000001,-13.9495553019615
0.0920000000000001,-14.2509631234988
0.0940000000000001,-14.5518083414136
0.0960000000000001,-14.8520790788518
0.0980000000000001,-15.1517634816387
0.1,-15.4508497187474
0.102,-15.7493259827652
0.104,-16.0471804903605
0.106,-16.3444014827471
0.108,-16.6409772261493
0.11,-16.9368960122646
0.112,-17.2321461587259
0.114,-17.526716009563
0.116,-17.8205939356625
0.118,-18.1137683352273
0.12,-18.4062276342339
0.122,-18.69796028689
0.124,-18.9889547760901
0.126,-19.2791996138698
0.128,-19.5686833418601
0.13,-19.857394531739
0.132,-20.1453217856831
0.134,-20.4324537368175
0.136,-20.7187790496642
0.138,-21.0042864205903
0.14,-21.2889645782536
0.142,-21.572802284048
0.144,-21.8557883325467
0.146,-22.1379115519451
0.148,-22.4191608045016
0.15,-22.6995249869774
